model	variant	price	Audio System Remote Control	Max Power	Remote Vehicle Ignition Start/Stop	Power Steering	Digital Clock	0-100Kmph (Tested)	Tow Away Alert	Anti-Pinch Power Windows	Speed Assist System	Cigarette Lighter	Braking (100-0kmph)	Integrated Antenna	Live Location	Valet Mode	Rear Window Wiper	Rear Window Sunblind	Lane Departure Warning	Lane Departure Prevention Assist	No. of Cylinders	Rear Cross Traffic Collision-Avoidance Assist	Height	Anti-Theft Device	Accessory Power Outlet	Leading Vehicle Departure Alert	Smart Access Card Entry	Wheel Size	Departure Angle	Valves Per Cylinder	Apple CarPlay	Alloy Wheel Size Rear	Hill Descent Control	Wheel Covers	Approach Angle	Sun Roof	Electric Adjustable Seats	Front Tread	Gear Shift Indicator	Power Windows	Petrol Fuel Tank Capacity	Emission Norm Compliance	Live Weather	Roof Rails	Drive Type	Outside Rear View Mirror Turn Indicators	Rear Seat Headrest	Rear Entertainment System	Tyre Size	Usb Ports	Fabric Upholstery	Remote Immobiliser	Electronic Brakeforce Distribution (EBD)	Power Antenna	Bluetooth Connectivity	Voice Commands	Tachometer	Speed Sensing Auto Door Lock	Connectivity	Engine Start/Stop Button	Roof Carrier	Acceleration	Active noise cancellation	Trunk Light	Heads-Up Display (HUD)	Global NCAP Child Safety Rating	Diesel Mileage ARAI	Inbuilt APPs	Wireless Phone Charging	Electronic Multi-Tripmeter	Kerb Weight	Rear Reading Lamp	Foldable Rear Seat	Digital Cluster	Navigation System	Brake Assist	E-Manual	Turning Radius	Digital Odometer	Driver Airbag	Leather Wrapped Steering Wheel	Internal Storage	Digital Car Key	Cooled Glovebox	Automatic Headlamps	Remote AC On/Off	Voice assisted sunroof	Rear Cross Traffic Alert	Navigation with Live Traffic	CNG Mileage ARAI	Headlamp Washers	No. of Airbags	KeyLess Entry	Send POI to Vehicle From App	Rear Window Defogger	ISOFIX Child Seat Mounts	Chrome Grille	Tweeters	Blind Spot Monitor	Regenerative Braking	Steering Gear Type	Adjustable Steering	Side Airbag	Insurance Expiry	E-Call & I-Call	Side Airbag-Rear	Tailgate Ajar Warning	Driving Experience Control Eco	Curtain Airbag	SOS Button	Cruise Control	Follow Me Home Headlamps	Xenon Headlamps	Central Console Armrest	Heated Outside Rear View Mirror	Passenger Airbag	Braking (80-0 kmph)	Google / Alexa Connectivity	Air Quality Control	Oncoming Lane Mitigation	Remote Fuel Lid Opener	Break-over Angle	Top Speed	PUC Expiry	Steering Type	Hill Assist	Transmission Type	Sunroof	Anti-Theft Alarm	Rear Suspension	Forward Collision Warning	Lumbar Support	Cup Holders	Vanity Mirror	Speakers	Radio	Impact Sensing Auto Door Unlock	Lane Keep Assist	Glove Box light	Diesel Fuel Tank Capacity	Outside Temperature Display	LED Taillights	LED Fog Lamps	Door Ajar Warning	Boot Space Rear Seat Folding	Rear Curtain	Heater	Tyre Pressure Monitoring System (TPMS)	Real-Time Vehicle Tracking	Drive Modes	Road Departure Mitigation System	Petrol Highway Mileage	Child Safety Locks	Displacement	Steering Column	Lane Change Indicator	Dual Tone Dashboard	Remote Boot Open	Front Suspension	Rear Tread	Fog Lights - Rear	Digital Cluster Size	Fuel Type	RSA	Glove Box	Smoke Headlamps	Rain Sensing Wiper	Cornering Headlamps	Puddle Lamps	Rear Window Washer	Leather Seats	No. of Doors	Rear Spoiler	Max Torque	Idle Start-Stop System	Traffic Sign Recognition	Drive Mode Types	Unauthorised Vehicle entry	Touchscreen Size	Gearbox	Subwoofer	Adjustable Headlamps	Ground Clearance Unladen	Air Conditioner	LED DRLs	Inbuilt Assistant	Antenna	Low Fuel Warning Light	Speed Alert	CNG Fuel Tank Capacity	Pretensioners & Force Limiter Seatbelts	Luggage Hook & Net	Adaptive High Beam Assist	Over Speeding Alert	Halogen Headlamps	Smartwatch App	Tinted Glass	Tyre Type	Integrated 2DIN Audio	Blind Spot Camera	Length	Central Locking	Boot Space	Touchscreen	LED Headlamps	SOS / Emergency Assistance	Remote Vehicle Status Check	Folding Table in The Rear	Remote Door Lock/Unlock	Leather wrap gear-shift selector	Adaptive Cruise Control	Anti-lock Braking System (ABS)	Traction Control	Paddle Shifters	Geo-fence Alert	Outside Rear View Mirror (ORVM)	Adjustable Headrest	Blind Spot Collision Avoidance Assist	Turbo Charger	360 View Camera	Fuel Supply System	Automatic Emergency Braking	Remote Trunk Opener	Rear Seat Centre Arm Rest	Rear Windscreen Sunblind	Chrome Garnish	Gross Weight	Fog Lights - Front	Rear AC Vents	Height Adjustable Driver Seat	Diesel Highway Mileage	0-100kmph	Autonomous Parking	Hands-Free Tailgate	Over the Air (OTA) Updates	No. of Speakers	Braking (60-0 kmph)	Seat Belt Warning	Boot Opening	Automatic Climate Control	Electronic Stability Control (ESC)	Rear Camera	Ventilated Seats	Engine Immobilizer	Alloy Wheel Size Front	Petrol Mileage ARAI	Side Stepper	Rear Brake Type	Engine Type	Global NCAP Safety Rating	Cornering Foglamps	Knee Airbags	Height Adjustable Front Seat Belts	Wheel Base	Wi-Fi Connectivity	Front Brake Type	Additional Features	Day & Night Rear View Mirror	Android Auto	Shock Absorbers Type	USB & Auxiliary input	Parking Sensors	USB Charger	Driver Attention Warning	Projector Headlamps	Upholstery	Width	Alloy Wheels	Seating Capacity	Fog Lights	Battery Saver
Tata Tiago XZ Plus DT	Tata Tiago XZ Plus DT	739900	None	84.48bhp@6000rpm	None	True	None	None	None	None	None	None	None	None	None	None	True	None	None	None	3	None	1535 mm	None	True	None	None	None	None	4	True	15 Inch	None	False	None	None	None	None	True	Front &amp; Rear	35 Litres	BS VI 2.0	None	None	FWD	True	None	None	175/60 R15	True	None	None	True	None	True	None	True	True	Android Auto, Apple CarPlay	None	None	None	None	None	None	4 Star	None	None	None	None	None	None	None	Semi	None	None	None	None	None	True	None	None	None	True	True	None	None	None	None	None	None	2	True	None	True	True	None	4	None	None	None	None	None	None	None	None	None	None	None	None	True	True	None	None	None	True	None	None	None	None	None	None	150  kmph	None	None	None	Manual	None	None	Rear twist beam	None	None	None	True	Front &amp; Rear	True	None	None	None	None	None	None	None	None	None	None	True	True	None	None	None	None	None	1199 cc	None	None	False	None	MacPherson Strut suspension	None	None	2.5	Petrol	None	True	None	True	None	False	True	None	5	True	113Nm@3300rpm	None	None	None	None	7 Inch	5-Speed	None	True	170 mm	True	True	None	None	None	None	None	Driver and Passenger	True	None	None	False	None	None	Tubeless, Radial	True	None	3765 mm	True	242 Litres	True	None	None	None	None	None	None	None	True	None	None	None	Powered &amp; Folding	True	None	None	None	None	None	None	None	None	None	None	None	None	True	None	None	None	None	None	4	None	True	Manual	True	True	With Guidedlines	None	True	15 Inch	20.09 kmpl	None	Drum	1.2L Revotron	4 Star	None	None	None	2400 mm	None	Disc	USB Connectivity,Speed Dependent Volume Control,Phone Book Access &amp; Audio Streaming,Call Rejected with SMS Feature,Incoming SMS Notifications and Read-Outs,Image and Video Playback,	True	True	None	None	Rear	Front	None	True	Fabric	1677 mm	True	5	Front	None
Hyundai i20 Asta Opt	Hyundai i20 Asta Opt	999800	None	82bhp@6000rpm	None	True	None	None	None	Driver's Window	None	None	None	None	None	None	True	None	None	None	4	None	1505 mm	None	True	None	None	None	None	4	True	16 Inch	None	False	None	None	None	None	True	Front &amp; Rear	37 Litres	BS VI 2.0	None	None	FWD	True	None	None	195/55 R16	True	None	None	True	None	True	True	True	True	None	True	None	None	None	True	None	None	None	None	True	None	None	True	None	True	None	None	None	None	None	True	True	None	None	True	True	None	True	None	None	None	None	6	True	None	True	True	None	2	None	None	None	True	True	None	None	False	True	None	True	True	True	True	None	With Storage	None	True	None	None	None	None	None	None	160  kmph	None	Electric	True	Manual	Single Pane	True	Rear twist beam	None	None	Front Only	True	Front &amp; Rear	True	True	None	None	None	None	True	None	True	None	None	True	True	None	False	None	None	None	1197 cc	Tilt & telescopic	None	None	None	MacPherson Strut suspension	None	None	None	Petrol	True	True	None	None	None	True	True	None	5	None	114.7Nm@4200rpm	True	None	No	None	10.25 inch	5-Speed	1	True	None	True	True	None	Shark Fin	None	True	None	Driver and Passenger	True	None	None	False	True	None	Tubeless	None	None	3995 mm	True	None	True	True	True	None	None	None	True	None	True	None	None	None	Powered &amp; Folding	True	None	None	None	None	None	None	None	None	None	None	None	True	True	None	None	None	None	True	4	None	True	Manual	True	True	With Guidedlines	None	True	16 Inch	16 kmpl	None	Drum	1.2 l Kappa	None	None	None	True	2580 mm	None	Disc	Ambient sounds of nature,Bose premium 7 speaker system	True	True	Gas Type	None	Rear	Front &amp; Rear	None	None	Leatherette	1775 mm	True	5	None	True
Maruti Ignis Radiance Edition	Maruti Ignis Radiance Edition	549000	None	81.80bhp@6000rpm	None	True	None	None	None	None	None	None	None	True	None	None	False	None	None	None	4	None	1595 mm	True	True	None	None	15 Inch	None	4	None	None	None	False	None	None	None	None	True	Front Only	32 Litres	BS VI 2.0	None	False	FWD	False	None	None	175/65 R15	None	None	None	True	None	False	False	False	True	None	False	None	None	None	False	None	None	None	None	None	None	840-865 kg	None	Bench Folding	None	None	None	None	4.7 m	None	True	None	None	None	None	None	None	None	None	None	None	None	2	False	None	False	True	None	None	None	None	None	True	None	None	None	None	None	None	None	None	None	None	None	None	None	True	None	None	None	None	None	None	None	None	Electric	False	Manual	None	True	Rear twist beam	None	None	Front Only	False	None	False	None	None	None	None	None	None	None	None	None	None	True	None	None	None	None	None	True	1197 cc	Tilt	None	False	None	MacPherson Strut suspension	None	None	None	Petrol	None	True	None	None	None	True	None	None	5	False	113Nm@4200rpm	None	None	None	None	inch	5-Speed	None	True	None	True	False	None	None	None	True	None	Driver and Passenger	None	None	True	True	None	None	Tubeless, Radial	False	None	3700 mm	False	260 Litres	False	None	None	None	None	None	None	None	True	None	None	None	Manual	True	None	None	None	None	None	None	None	None	None	None	None	None	False	None	None	None	None	None	None	None	True	Manual	False	True	False	None	True	None	20.89 kmpl	None	Drum	VVT	None	None	None	None	2435 mm	None	Disc	Body Coloured Door Handles,Body Coloured ORVMs,Front Wiper and Washer,High-mount LED Stop Lamp,	False	None	None	None	Rear	None	None	False	Fabric	1690 mm	False	5	False	None
Maruti Baleno Sigma	Maruti Baleno Sigma	666000	None	88.50bhp@6000rpm	False	True	None	None	False	Driver	False	False	None	False	False	False	False	No	False	False	4	False	1500 mm	False	True	False	None	15 Inch	None	4	False	None	False	False	None	None	False	None	True	Front &amp; Rear	37 Litres	BS VI 2.0	False	False	FWD	False	None	None	185/65 R15	False	None	False	True	None	False	False	True	True	None	False	False	None	False	None	False	None	None	None	None	None	925-955 kg	True	Bench Folding	True	None	True	False	4.85 m	None	True	None	None	False	False	False	None	None	False	None	None	False	2	True	False	True	True	False	None	False	None	Rack & Pinion	True	False	False	False	False	None	None	False	None	False	False	None	None	False	True	None	None	None	False	None	None	180  kmph	False	Electric	True	Manual	False	False	Rear twist beam	False	None	None	None	False	False	True	False	False	None	None	True	False	True	None	False	True	False	False	None	False	None	None	1197 cc	Tilt	None	None	False	MacPherson Strut suspension	None	None	4.2	Petrol	None	True	False	False	None	False	False	None	5	True	113Nm@4400rpm	None	False	None	False	None	5-Speed	None	None	None	True	False	False	None	None	True	None	Driver and Passenger	None	False	False	True	False	None	Radial Tubeless	False	False	3990 mm	True	318 Litres	False	False	False	None	None	False	False	False	True	None	None	False	Manual	True	False	No	False	None	False	None	None	No	None	1410 kg	None	False	False	None	None	False	False	False	None	None	True	Manual	True	True	None	False	True	None	22.35 kmpl	False	Drum	1.2 L K Series Engine	None	None	False	None	2520 mm	None	Disc	No	False	False	None	None	Rear	False	False	True	Fabric	1745 mm	False	5	False	False
Maruti Eeco 5 Seater STD	Maruti Eeco 5 Seater STD	532000	None	79.65bhp@6000rpm	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	4	None	1825 mm	None	True	None	None	13 Inch	None	4	None	None	None	True	None	None	None	1280 mm	None	None	32 Litres	BS VI 2.0	None	None	RWD	None	None	None	155/65 R13	None	None	None	True	None	None	None	True	None	None	None	None	None	None	None	None	None	None	None	None	None	935 kg	True	None	Semi	None	None	None	4.5 m	True	True	None	None	None	None	None	None	None	None	None	None	None	2	None	None	None	None	None	None	None	None	None	None	None	None	False	None	None	None	None	None	None	None	None	None	None	True	None	None	False	None	None	None	146  kmph	None	None	None	Manual	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	True	None	None	None	None	None	True	1197 cc	None	None	None	None	MacPherson Strut suspension	1290 mm	None	None	Petrol	None	True	None	None	None	None	None	None	5	None	104.4Nm@3000rpm	None	None	None	None	None	5-Speed	None	True	None	False	None	None	None	None	True	None	None	None	None	None	True	None	None	Tubeless	None	None	3675 mm	None	510 Litres	None	None	None	None	None	None	None	None	True	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	True	Manual	None	None	None	None	True	None	19.71 kmpl	None	Drum	K12N	None	None	None	None	2350 mm	None	Disc	Front Mud Flaps,Outside Rear View Mirror (Left &amp; Right),High Mount Stop Lamp,	None	None	None	None	Rear	None	None	None	None	1475 mm	None	5	None	None
Maruti Swift VXi Blitz Edition	Maruti Swift VXi Blitz Edition	769000	None	80.46bhp@5700rpm	None	True	None	None	False	Driver's Window	None	None	None	None	False	False	False	None	None	None	3	None	1520 mm	True	True	None	None	14 Inch	None	4	True	None	None	True	None	False	None	None	True	Front &amp; Rear	37 Litres	BS VI 2.0	None	None	FWD	True	None	None	165/80 R14	True	None	None	True	None	True	True	True	True	None	False	None	None	None	False	None	None	None	None	False	None	920 kg	True	Bench Folding	True	None	None	None	4.8 m	None	True	False	None	None	None	False	None	None	None	None	None	None	6	True	None	True	True	None	None	None	None	None	Height only	True	None	None	False	None	None	True	None	False	False	None	None	False	True	None	False	None	None	None	None	None	None	Electric	True	Manual	None	True	Rear twist beam	None	None	Front Only	True	Front &amp; Rear	True	None	None	None	None	None	True	False	True	None	None	True	None	False	None	None	None	None	1197 cc	Tilt	None	None	None	MacPherson Strut suspension	None	None	None	Petrol	None	True	None	None	None	None	False	None	5	None	111.7Nm@4300rpm	None	None	None	None	7 inch	5-Speed	None	True	163 mm	True	False	None	Micropole	None	True	None	Driver and Passenger	True	None	False	True	False	None	Radial Tubeless	None	None	3860 mm	True	265 Litres	True	False	None	None	None	False	None	None	True	None	None	False	Powered	True	None	No	None	None	None	None	None	None	None	1355 kg	None	False	False	None	None	None	None	True	4	None	True	Electronic	False	True	False	None	True	None	24.8 kmpl	None	Drum	Z12E	None	None	None	None	2450 mm	None	Ventilated Disc	"Wireless Android Auto &amp; Apple CarPlay,Onboard Voice Assistant (Wake-up through """"Hi Suzuki"""" with Barge-in Feature)"	True	True	None	None	Rear	Front	False	False	Fabric	1735 mm	False	5	False	None
Hyundai Exter S Opt	Hyundai Exter S Opt	765300	None	81.8bhp@6000rpm	None	True	None	None	None	None	False	None	None	None	None	None	False	None	False	False	4	False	1631 mm	True	True	False	None	14 Inch	None	4	True	None	None	True	None	None	None	None	None	Front &amp; Rear	37 Litres	BS VI 2.0	None	False	FWD	False	None	None	165/70 R14	True	None	None	True	None	True	True	True	True	Android Auto, Apple CarPlay	False	None	None	None	False	None	None	None	None	False	None	None	True	Bench Folding	True	None	None	None	None	None	True	None	None	None	False	False	None	No	False	None	None	None	6	True	None	False	False	None	None	None	None	None	False	True	None	None	False	True	None	True	False	False	True	None	None	None	True	None	None	None	False	None	None	None	None	Electric	True	Manual	False	True	Rear twist beam	False	None	None	True	Front &amp; Rear	True	True	False	None	None	None	True	None	True	None	None	True	True	None	None	False	None	True	1197 cc	No	None	None	None	MacPherson Strut suspension	None	None	None	Petrol	False	True	None	None	None	None	False	None	5	False	113.8Nm@4000rpm	True	False	None	None	8 inch	5-Speed	None	True	None	True	True	None	Micro pole	None	True	None	Driver and Passenger	True	False	None	True	None	None	Radial Tubeless	None	None	3815 mm	True	None	True	None	None	None	None	None	None	False	True	None	False	None	Powered	True	False	None	None	None	False	None	None	None	None	None	None	True	True	None	None	None	None	False	None	None	True	Electronic	False	True	False	None	True	None	19.4 kmpl	None	Drum	1.2 l Kappa	None	None	None	None	2450 mm	None	Disc	Infotainment system(Multiple regional UI language)	True	True	Gas Type	None	Rear	Front	False	False	Fabric	1710 mm	False	5	None	True
Tata Punch Creative Plus S Camo	Tata Punch Creative Plus S Camo	959900	None	87bhp@6000rpm	None	True	None	None	None	Driver's Window	None	None	None	None	None	None	True	None	None	None	3	None	1615 mm	None	True	None	None	None	None	4	True	16 Inch	None	False	None	None	None	None	None	Front &amp; Rear	37 Litres	BS VI 2.0	None	True	FWD	True	None	None	195/60 R16	True	None	None	True	None	True	None	True	None	None	True	None	None	None	None	None	4 Star	None	None	True	None	None	None	None	True	None	None	None	None	None	True	True	None	None	True	True	None	True	None	None	None	None	2	True	None	True	True	None	2	None	None	None	Height only	None	None	None	None	None	None	None	None	True	True	None	With Storage	None	True	None	None	None	None	None	None	150  kmph	None	Electric	None	Manual	Single Pane	None	Rear twist beam	None	None	Front &amp; Rear	None	Front &amp; Rear	True	None	None	None	None	None	True	None	True	None	None	True	True	None	None	None	None	None	1199 cc	Tilt	None	None	None	MacPherson Strut suspension	None	None	4	Petrol	None	True	None	True	None	True	True	None	5	None	115Nm@3150-3350rpm	None	None	None	None	10.24 inch	5-Speed	None	True	187 mm	True	True	None	Shark Fin	None	True	None	Driver and Passenger	True	None	None	False	None	None	Radial Tubeless	None	None	3827 mm	True	366 Litres	True	True	None	None	None	None	True	None	True	None	None	None	Powered &amp; Folding	None	None	None	None	None	None	None	True	None	None	None	None	True	True	None	None	None	None	None	4	None	True	None	True	True	With Guidedlines	None	True	16 Inch	20.09 kmpl	None	Drum	1.2 l Revotron	5 Star	None	None	None	2445 mm	None	Disc	Wireless Android Auto and Apple CarPlay	True	True	None	None	Rear	Front &amp; Rear	None	True	None	1742 mm	True	5	Front	None
Hyundai Exter S Opt Plus	Hyundai Exter S Opt Plus	786300	None	81.8bhp@6000rpm	None	True	None	None	None	None	False	None	None	None	None	None	False	None	False	False	4	False	1631 mm	True	True	False	None	14 Inch	None	4	True	None	None	True	None	None	None	None	None	Front &amp; Rear	37 Litres	BS VI 2.0	None	False	FWD	False	None	None	165/70 R14	True	None	None	True	None	True	True	True	True	None	False	None	None	None	False	None	None	None	None	False	None	None	True	Bench Folding	True	None	None	None	None	None	True	None	None	None	False	False	None	No	False	None	None	None	6	True	None	False	False	None	None	None	None	None	False	True	None	None	False	True	None	True	False	False	True	None	None	None	True	None	None	None	False	None	None	None	None	Electric	True	Manual	Single Pane	True	Rear twist beam	False	None	None	True	Front &amp; Rear	True	True	False	None	None	None	True	None	True	None	None	True	True	None	None	False	None	True	1197 cc	No	None	None	None	MacPherson Strut suspension	None	None	None	Petrol	False	True	None	None	None	None	False	None	5	False	113.8Nm@4000rpm	True	False	None	None	8 inch	5-Speed	None	True	None	True	True	None	Micro pole	None	True	None	Driver and Passenger	True	False	None	True	None	None	Radial Tubeless	None	None	3815 mm	True	None	True	None	None	None	None	None	None	False	True	None	False	None	Powered	True	False	None	None	None	False	None	None	None	None	None	None	True	True	None	None	None	None	False	None	None	True	Electronic	False	True	False	None	True	None	19.4 kmpl	None	Drum	1.2 l Kappa	None	None	None	None	2450 mm	None	Disc	Infotainment system(Multiple regional UI language)	True	True	Gas Type	None	Rear	Front	False	False	Fabric	1710 mm	False	5	None	True
Mahindra Thar AX Opt Hard Top Diesel RWD	Mahindra Thar AX Opt Hard Top Diesel RWD	1134999	None	116.93bhp@3500rpm	None	True	None	None	None	None	None	None	None	False	None	None	None	None	None	None	4	None	1850 mm	None	True	None	None	16 Inch	36°	4	False	None	True	None	41.2°	None	None	None	None	None	None	BS VI 2.0	None	None	RWD	None	True	None	245/75 R16	False	None	None	True	None	False	False	True	False	None	None	None	None	None	None	None	None	None	None	None	None	None	True	50:50 Split	Sami (Monochrome)	None	True	None	None	None	True	None	None	None	None	None	None	None	None	None	None	None	2	True	None	True	False	None	None	None	None	Rack & Pinion	True	False	None	None	False	None	None	None	None	False	False	None	None	None	True	None	None	None	None	None	26.2°	None	None	Hydraulic	True	Manual	None	None	Multi-link, Solid Axle	None	None	None	None	False	False	None	None	None	45 Litres	None	True	None	None	None	None	True	False	None	None	None	None	None	1497 cc	Tilt	True	None	None	Double wishbone suspension	1520 mm	None	4.2 inch	Diesel	None	True	None	None	None	None	None	None	3	None	300Nm@1750-2500rpm	None	None	None	None	None	6-Speed	None	None	226 mm	True	True	None	None	None	True	None	None	None	None	None	None	None	None	Tubeless All-Terrain	False	None	3985 mm	True	None	False	True	None	None	None	None	None	None	True	None	None	None	None	True	None	True	None	None	None	None	None	None	None	None	None	None	True	11 kmpl	None	None	None	None	None	None	True	Manual	None	True	None	None	None	None	None	True	Drum	D117 CRDe	None	None	None	None	2450 mm	None	Disc	Washable Floor with Drain Plugs, Welded Tow Hooks in Front &amp; Rear, Tow Hitch Protection, Electronic Brake Locking Differential for	True	False	None	None	Rear	None	None	None	None	1820 mm	False	4	False	None
Maruti Celerio ZXI Plus	Maruti Celerio ZXI Plus	659500	None	65.71bhp@5500rpm	None	True	None	None	None	None	None	None	None	None	None	None	True	None	None	None	3	None	1555 mm	True	True	None	None	None	None	4	True	15 Inch	None	False	None	None	None	None	True	Front &amp; Rear	32 Litres	BS VI 2.0	None	None	FWD	True	None	None	175/60 R15	True	None	None	True	None	True	True	True	True	Android Auto, Apple CarPlay	True	None	None	None	None	None	None	None	None	None	None	820 kg	None	60:40 Split	None	None	None	None	None	None	True	None	None	None	None	None	None	None	None	None	None	None	2	True	None	True	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	True	None	None	True	None	None	None	None	None	Electric	False	Manual	None	True	Rear twist beam	None	None	None	None	Front &amp; Rear	True	True	None	None	None	None	None	None	True	None	None	True	None	None	None	None	26 kmpl	True	998 cc	Tilt	None	None	None	MacPherson Strut suspension	None	None	None	Petrol	None	True	None	None	None	None	True	None	5	None	89Nm@3500rpm	True	None	None	None	1	5-Speed	None	True	None	True	None	None	None	None	True	None	Driver and Passenger	True	None	None	True	None	None	Tubeless, Radial	True	None	3695 mm	True	313 Litres	True	None	None	None	None	None	None	None	True	None	None	None	Powered &amp; Folding	None	None	None	None	None	None	None	None	None	None	1260 kg	None	None	True	None	None	None	None	None	4	None	True	Manual	None	True	None	None	True	15 Inch	24.97 kmpl	None	Drum	K10C	None	None	None	None	2435 mm	None	Ventilated Disc	Smartplay Studio System With Smartphone Navigation And Voice Command(Android Auto And Apple Car Play Enabled	True	True	None	True	Rear	None	None	None	None	1655 mm	True	5	Front	None
Tata Punch Adventure S	Tata Punch Adventure S	759900	None	87bhp@6000rpm	None	True	None	None	None	None	None	None	None	None	None	None	False	None	None	None	3	None	1615 mm	None	True	None	None	15 Inch	None	4	False	None	None	True	None	None	None	None	None	Front &amp; Rear	37 Litres	BS VI 2.0	None	True	FWD	True	None	None	185/70 R15	True	None	None	True	None	True	None	True	None	None	False	None	None	None	None	None	4 Star	None	None	None	None	None	None	None	True	None	None	None	None	None	True	False	None	None	False	True	None	None	None	None	None	None	2	True	None	False	True	None	None	None	None	None	Height only	None	None	None	None	None	None	None	None	False	True	None	With Storage	None	True	None	None	None	None	None	None	150  kmph	None	Electric	None	Manual	Single Pane	None	Rear twist beam	None	None	Front Only	None	Front &amp; Rear	True	None	None	None	None	None	False	None	None	None	None	True	False	None	None	None	None	None	1199 cc	Tilt	None	None	None	MacPherson Strut suspension	None	None	4	Petrol	None	True	None	True	None	False	False	None	5	None	115Nm@3150-3350rpm	None	None	None	None	3.5 inch	5-Speed	None	True	187 mm	True	False	None	Shark Fin	None	True	None	Driver and Passenger	True	None	None	True	None	None	Tubeless Radial	None	None	3827 mm	True	366 Litres	False	None	None	None	None	None	None	None	True	None	None	None	Powered	None	None	None	None	None	None	None	False	None	None	None	None	True	True	None	None	None	None	None	4	None	None	None	False	True	False	None	True	None	20.09 kmpl	None	Drum	1.2 l Revotron	5 Star	None	None	None	2445 mm	None	Disc	Black ODH and ORVM	True	False	None	None	Rear	Front &amp; Rear	None	False	None	1742 mm	False	5	False	None
Skoda Kylaq Classic	Skoda Kylaq Classic	789000	None	114bhp@5000-5500rpm	None	True	None	None	None	None	None	None	None	True	None	None	True	None	None	None	3	None	1619 mm	None	True	None	None	None	None	4	True	17 Inch	None	None	None	None	Front	None	None	Front &amp; Rear	None	BS VI 2.0	None	None	FWD	True	Adjustable	None	None	True	None	None	True	None	True	None	True	True	None	True	None	None	None	None	None	None	None	None	True	None	None	True	None	True	None	True	None	None	None	True	None	None	None	True	True	None	None	None	None	None	None	6	True	None	True	True	None	None	None	None	None	Height only	True	None	None	False	True	None	True	None	None	True	None	With Storage	None	True	None	None	None	None	None	None	None	None	Electric	True	Manual	Single Pane	True	Rear twist beam	None	None	Front &amp; Rear	None	Front &amp; Rear	True	True	None	None	None	None	True	None	True	None	None	True	True	None	None	None	18 kmpl	True	998 cc	None	None	None	None	MacPherson Strut suspension	None	None	8	Petrol	None	True	None	None	None	None	True	None	5	True	178Nm@1750-4500rpm	True	None	None	None	10.07 inch	6-Speed	None	True	189 mm	True	True	None	None	None	True	None	Driver and Passenger	True	None	None	None	None	None	Radial Tubeless	None	None	3995 mm	True	446 Litres	True	True	None	None	None	None	None	None	True	None	None	None	Powered &amp; Folding	True	None	True	None	None	None	None	True	None	None	None	None	True	True	None	None	None	False	None	None	None	True	Manual	True	True	With Guidedlines	True	True	17 Inch	None	None	Drum	1.0 TSI	None	None	False	None	2566 mm	None	Disc	New Shiny Black Front Grille with 3D Ribs	True	True	None	None	Rear	None	None	True	Leatherette	1783 mm	True	5	None	None
Bajaj Qute CNG	Bajaj Qute CNG	360607	True	10.83bhp@5500rpm	None	False	False	None	None	None	None	False	None	False	None	None	False	None	None	None	1	None	1652 mm	False	True	None	False	12 Inch	None	4	None	12 Inch	False	False	None	False	False	1624 mm	False	None	None	BS VI 2.0	None	False	RWD	False	False	False	None	True	True	None	None	False	True	False	True	False	None	False	True	None	None	False	False	None	None	None	None	False	451 kg	False	False	None	False	False	None	3.5 m	False	False	False	False	None	False	False	None	None	None	None	43 km/kg	None	1	False	None	False	False	False	None	False	None	Rack & Pinion	False	False	None	None	False	False	False	None	None	False	False	False	False	None	False	None	None	False	None	False	None	70  kmph	None	Manual	False	Manual	None	False	Multi link suspension	None	False	None	True	Front &amp; Rear	True	True	None	None	None	False	None	None	True	None	False	False	False	None	0	None	None	True	216 cc	None	True	False	None	Multi link suspension	None	False	None	CNG	None	True	False	False	None	None	False	False	4	False	16.1Nm@4000rpm	None	None	None	None	None	5-Speed	None	True	None	False	None	None	None	True	None	35 Litres	False	False	None	None	False	None	False	Radial	False	None	2752 mm	False	20 Litres	False	None	None	None	False	None	None	None	False	False	False	None	None	None	None	None	False	DTSi	None	False	False	None	False	None	False	False	True	None	None	False	None	None	None	None	False	None	False	None	False	False	False	12 Inch	None	False	Drum	None	1 Star	None	False	False	1925 mm	None	Drum	None	False	None	None	True	False	Front	None	None	None	1312 mm	True	4	None	False
